"BSTOPARSNO,N,19,0","BSTOPID,N,19,0","NAME,C,254","STOPTYPE,C,254","LNG,N,19,15","LAT,N,19,15"
0,180210302,연포초등학교,마을,129.081578000000000,35.138517580000000
0,180220102,못골시장,마을,129.087292000000000,35.134756130000000
0,180220201,동성하이타운,마을,129.087804200000000,35.133125030000000
0,180220202,롯데슈퍼,마을,129.086853200000000,35.133918980000000
0,180220401,못골사거리,마을,129.086981900000000,35.135159950000000
0,180230304,부산공업고등학교후문건널목,마을,129.086919700000000,35.129281590000000
0,180230305,동림리라맨션,마을,129.085147000000000,35.128610250000000
0,180230306,성지고등학교,마을,129.081546900000000,35.127387520000000
0,180230307,부산공업고등학교후문,마을,129.088575800000000,35.130036180000000
0,180250201,부산세무고등학교,마을,129.086766900000000,35.137820870000000
0,180250302,부산세무고등학교,마을,129.086391500000000,35.138166360000000
0,180250303,해연중학교,마을,129.083120200000000,35.138328680000000
0,180260301,서원유통,마을,129.088911500000000,35.138319440000000
0,180260401,남산2차타워,마을,129.089080900000000,35.138320400000000
0,180260402,동천고등학교,마을,129.089014500000000,35.141218060000000
0,180280301,LG메트로시티입구,마을,129.109734000000000,35.127554000000000
0,180290101,LG메트로시티214동,마을,129.109906400000000,35.131031810000000
0,180290201,자연유치원,마을,129.111005000000000,35.130047000000000
0,180300101,산성교회,마을,129.090433600000000,35.130085230000000
0,180300301,부영카정비,마을,129.089776200000000,35.131491310000000
0,180300302,동성하이타운,마을,129.088818600000000,35.133068660000000
0,180310201,부산공업고등학교정문,마을,129.088286700000000,35.131560550000000
0,180310202,부산공업고등학교사거리,마을,129.089067700000000,35.130332700000000
0,180310301,롯데슈퍼,마을,129.087086700000000,35.133875340000000
0,180320302,대천중학교,마을,129.103458000000000,35.128558070000000
0,180330101,LG메트로시티234동,마을,129.108235700000000,35.132070190000000
0,180340102,유엔조각공원,마을,129.098509200000000,35.130019950000000
0,180340103,부산시립박물관,마을,129.093076900000000,35.130059340000000
0,180350301,대연역,마을,129.091392600000000,35.135198540000000
0,180360302,도로교통공단,마을,129.102789200000000,35.131077340000000
0,180380102,대연고등학교,마을,129.100612400000000,35.129984040000000
0,180380103,도로교통공단,마을,129.103322300000000,35.130405840000000
0,180380301,유엔조각공원,마을,129.097937200000000,35.130231110000000
0,180380302,부산시립박물관,마을,129.093777800000000,35.130248480000000
0,180380303,대연고등학교,마을,129.100978400000000,35.130223580000000
0,180390303,부경대대연캠퍼스,마을,129.101252300000000,35.133120630000000
0,180390304,경성대학교입구,마을,129.100667000000000,35.136335000000000
0,180400401,자연유치원,마을,129.111270000000000,35.129991670000000
0,180410301,하이츠자이아파트,마을,129.110982000000000,35.131511000000000
0,180420101,분포중학교,마을,129.114721400000000,35.127741930000000
0,180420201,메트로유치원,마을,129.112878100000000,35.126216010000000
0,180440201,용당동갓골,마을,129.097832200000000,35.124948190000000
0,180450202,석포여자중학교,마을,129.095699100000000,35.125386480000000
0,180450203,유엔평화공원,마을,129.095468300000000,35.126423230000000
0,180450302,부산문화회관(박물관),마을,129.093865600000000,35.128817360000000
0,180460101,동명대학교,마을,129.100555500000000,35.120594620000000
0,180460201,동명불원,마을,129.103171700000000,35.118953080000000
0,180460202,현대아파트,마을,129.100681100000000,35.119684580000000
0,180470101,예문여자고등학교,마을,129.106941900000000,35.119131240000000
0,180470201,동명불원,마을,129.104079800000000,35.118866570000000
0,180480103,동명대학교입구,마을,129.099355600000000,35.122501790000000
0,180480201,동명대학교,마을,129.099166000000000,35.120805390000000
0,180480302,동명오거리,마을,129.098132400000000,35.120805210000000
0,180480402,한신아파트,마을,129.097299900000000,35.123359180000000
0,180490202,한신아파트,마을,129.097116000000000,35.123245100000000
0,180490302,석포여자중학교,마을,129.096422600000000,35.124391870000000
0,180510402,유엔평화공원,마을,129.095837000000000,35.125731780000000
0,180520101,LG메트로시티입구,마을,129.109787000000000,35.127321000000000
0,180520202,용문중학교,마을,129.110337000000000,35.125937170000000
0,180520402,남부면허시험장,마을,129.107809000000000,35.127990000000000
0,180530101,솔밭공원,마을,129.108576500000000,35.119883490000000
0,180550102,부산문화회관,마을,129.092904000000000,35.128974460000000
0,180560302,남부산농협석포지점,마을,129.091703700000000,35.129313770000000
0,180570102,남부면허시험장,마을,129.107317000000000,35.128134000000000
0,180620301,메가마트남천점,마을,129.110344700000000,35.135977820000000
0,180620401,메가마트남천점,마을,129.110641200000000,35.136511660000000
0,180630101,하이츠자이아파트,마을,129.111120400000000,35.131240170000000
0,180630201,LG메트로시티214동,마을,129.109929000000000,35.131456080000000
0,180640203,못골시장,마을,129.088657800000000,35.135070000000000
0,180670101,경림유통,마을,129.091577500000000,35.135922790000000
0,180680102,대연초등학교,마을,129.091747900000000,35.136378050000000
0,180690101,글로리빌딩,마을,129.087727000000000,35.135749130000000
0,180690301,동원로얄듀크아파트,마을,129.087107500000000,35.135974240000000
0,180700103,경성대학교,마을,129.096350700000000,35.135617490000000
0,180700104,대연동제일은행,마을,129.094518100000000,35.135257840000000
0,180700105,경성대·부경대역,마을,129.099423500000000,35.136945300000000
0,180700301,대연우체국,마을,129.093309800000000,35.135638630000000
0,180710402,경동아파트,마을,129.092472900000000,35.149715590000000
0,180720101,영웅주유소,마을,129.095982900000000,35.146532670000000
0,180740103,대연교회,마을,129.090530400000000,35.138031560000000
0,180740104,대연초등학교,마을,129.091391000000000,35.136861640000000
0,180740302,대연교회,마을,129.090139100000000,35.138176710000000
0,180750102,경성대부경대역,마을,129.100554200000000,35.137482170000000
0,180750203,경성대학교입구,마을,129.100476100000000,35.136224670000000
0,180750204,부경대대연캠퍼스,마을,129.101049500000000,35.132459020000000
