,title,description,originallink,link,pubDate
761,<b>뉴진스</b> VS <b>뉴진스</b> VS <b>뉴진스</b> [골라들을까],"민희진 어도어 대표가 제작한 그룹 <b>뉴진스</b>의 데뷔 음반 타이틀곡 ‘어텐션’(Attention), ‘하입 보이’(Hype Boy), ‘쿠키’(Cookie). 지난 1일 발매된 세 곡 중 취향에 맞는 노래를 골라보세요. 그룹 <b>뉴진스</b>. 어도어 ‘어텐션’... ",http://www.kukinews.com/newsView/kuk202208100203,http://www.kukinews.com/newsView/kuk202208100203,"Thu, 11 Aug 2022 06:04:00 +0900"
762,긴 생머리… 옅은 화장… 스포티한 의상 청량하고 건강한 걸그룹 ‘<b>뉴진스</b>’ ...,"어도어 대표로 처음 선보인 5인조 다국적 걸그룹 ‘<b>뉴진스</b>’는 1일 데뷔 직후부터 인기몰이에 나서 ‘민희진표 걸그룹’의 성공을 알리고 있다. <b>뉴진스</b>의 멤버는 하니 다니엘 혜인 해린 민지로, 하니는 베트남과 호주... ",https://www.donga.com/news/article/all/20220811/114905287/1,https://n.news.naver.com/mnews/article/020/0003444890?sid=103,"Thu, 11 Aug 2022 03:02:00 +0900"
763,"<b>뉴진스</b>, 글로벌 돌풍…데뷔 8일 만에 美 빌보드 진입","걸그룹 <b>뉴진스</b>(NewJeans)가 데뷔 8일 만에 미국 빌보드 차트에 진입했다. 미국 전문 음악 매체 빌보드가 9일(현지시간) 발표한 최신 차트(8월 13일 자)에 따르면, <b>뉴진스</b>(민지, 하니, 다니엘, 해린, 혜인)의 데뷔 앨범 첫... ",http://news.heraldcorp.com/view.php?ud=20220811000002,https://n.news.naver.com/mnews/article/016/0002027146?sid=103,"Thu, 11 Aug 2022 00:35:00 +0900"
764,<b>뉴진스</b> 법적대응 &quot;엄정한 조치 취할 것&quot;," <b>뉴진스</b> 법적대응 천명 소식이 전해졌다. 10일 소속사 어도어는 공식입장문을 통해 &quot;당사는 <b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실 유포, 명예훼손 등의 행위에 대해 법적 대응을 할 방침&quot;이라고 밝혔다.... ",http://www.newsfarm.co.kr/news/articleView.html?idxno=77355,http://www.newsfarm.co.kr/news/articleView.html?idxno=77355,"Thu, 11 Aug 2022 00:32:00 +0900"
765,&apos;<b>뉴진스</b>&apos; 시작부터 돌풍...음원 발매 8일 만에 빌보드 진입,BTS 소속사인 하이브의 새 걸그룹 <b>뉴진스</b>가 음원 발매 8일 만에 빌보드 차트에 진입하며 돌풍을 일으키고 있습니다. <b>뉴진스</b>의 노래 &apos;어텐션&apos;은 지난 9일 발표된 &apos;빌보드 글로벌&apos; 차트에서 174위에 올랐습니다. 앞서... ,https://www.ytn.co.kr/_ln/0106_202208110018342361,https://n.news.naver.com/mnews/article/052/0001775314?sid=103,"Thu, 11 Aug 2022 00:18:00 +0900"
766,<b>뉴진스</b> 법적대응 &quot;선처와 합의 없다&quot;,"충청매일 CCDN 사진=<b>뉴진스</b> 트위터  <b>뉴진스</b> 법적대응 소식이 전해졌다. 신생 여성그룹 <b>뉴진스</b>가 악플러에 대해 법적대응을 천명했다. 10일 소속사 어도어는 &quot;당사는 <b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실... ",http://www.ccdn.co.kr/news/articleView.html?idxno=774536,http://www.ccdn.co.kr/news/articleView.html?idxno=774536,"Wed, 10 Aug 2022 22:20:00 +0900"
767,K-팝은 건강한가,"<b>뉴진스</b>가 드디어 데뷔했다. 5인조 걸 그룹 <b>뉴진스</b>는 데뷔 전부터 화제를 모았다. 방탄소년단 기획사 하이브의 산하 레이블 소속, SM엔터테인먼트 출신 스타 기획자 민희진의 이적 후 첫 걸 그룹, 말하자면 K-팝의... ",https://www.vogue.co.kr/2022/08/09/k-%ed%8c%9d%ec%9d%80-%ea%b1%b4%ea%b0%95%ed%95%9c%ea%b0%80/?utm_source=naver&utm_medium=partnership,https://www.vogue.co.kr/2022/08/09/k-%ed%8c%9d%ec%9d%80-%ea%b1%b4%ea%b0%95%ed%95%9c%ea%b0%80/?utm_source=naver&utm_medium=partnership,"Wed, 10 Aug 2022 20:44:00 +0900"
768,"르세라핌·<b>뉴진스</b> 측 “악의적 비방·허위사실 유포·명예 훼손에 법적 대응,...",사진)과 <b>뉴진스</b>가 악성 게시물에 법적으로 대응한다. 르세라핌이 소속된 하이브 산하 레이블 쏘스뮤직은... <b>뉴진스</b>가 소속된 하이브 산하 레이블 어도어도 이날 SNS에 같은 내용의 공지문을 게재했다. 쏘스뮤직과... ,http://www.segye.com/content/html/2020/04/15/20200415515604.html?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003723991?sid=106,"Wed, 10 Aug 2022 20:28:00 +0900"
769,"어도어 측 &quot;<b>뉴진스</b> 향한 악의적 비방 법적 대응, 선처 없다&quot; [전문]","그룹 <b>뉴진스</b> 측이 악플러에 대한 법적 대응을 선언했다. 10일 소속사 어도어는 &quot;당사는 <b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실 유포, 명예훼손 등의 행위에 대해 법적 대응을 할 방침&quot;이라고 밝혔다. 이어... ",http://www.celuvmedia.com/article.php?aid=1660130550432418007,http://www.celuvmedia.com/article.php?aid=1660130550432418007,"Wed, 10 Aug 2022 20:26:00 +0900"
770,<b>뉴진스</b> `어텐션&apos; 빌보드 글로벌 174위,"민희진 어도어 대표이사가 제작한 신인 걸그룹 `<b>뉴진스</b>(NewJeans)&apos;가 데뷔 음원 발매 8일 만에 미국 빌보드 차트에 진입했다. 빌보드가 9일(현지시간) 발표한 최신 차트(8월13일 자)에 따르면, <b>뉴진스</b>가 지난 1일... ",http://www.cctimes.kr/news/articleView.html?idxno=715939,http://www.cctimes.kr/news/articleView.html?idxno=715939,"Wed, 10 Aug 2022 20:16:00 +0900"
